,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
1556,1578,who framed roger rabbit,3,5,3,2
1557,1579,the emperor's new groove,3,5,3,2
1558,1580,frozen ii,3,5,3,2
1559,1581,rv,5,6,17,13
1560,1582,bill &amp; ted face the music,5,6,1,182
1561,1583,into the woods,5,6,0,44
1562,1584,toy story 2,3,5,3,2
1563,1585,wreck-it ralph,3,5,3,2
1564,1586,tarzan,3,5,3,2
1565,1587,ice age,3,5,3,2
1566,1588,night at the museum,5,6,17,13
1567,1589,the great escape,5,0,2,147
1568,1590,enchanted,3,5,3,2
1569,1591,ryû to sobakasu no hime,3,5,0,12
1570,1592,monty python and the holy grail,5,6,15,41
1571,1593,maleficent,5,16,15,66
1572,1594,fantastic mr. fox,3,5,3,2
1573,1595,lawrence of arabia,5,13,0,124
1574,1596,robots,3,5,3,2
1575,1597,space jam: a new legacy,3,5,3,2
1576,1598,dances with wolves,5,0,10,135
1577,1599,"o brother, where art thou?",5,6,14,106
1578,1600,paddington,5,6,17,13
1579,1601,brave,3,5,3,2
1580,1602,the princess and the frog,3,5,3,2
1581,1603,peter pan,5,16,15,66
1582,1604,the jungle book,5,0,17,96
1583,1605,bill &amp; ted's excellent adventure,5,6,1,182
1584,1606,shrek 2,3,5,3,2
