,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
1048,1060,the expendables 3,1,5,6,262
1049,1061,looper,1,0,11,285
1050,1062,hercules,1,5,15,275
1051,1063,murder mystery,1,6,14,45
1052,1064,rambo: last blood,1,14,6,1
1053,1065,goldeneye,1,5,6,262
1054,1066,the other guys,1,6,14,45
1055,1067,gravity,1,0,11,285
1056,1068,dora and the lost city of gold,1,5,3,4
1057,1069,the guardian,1,5,0,260
1058,1070,jack reacher: never go back,1,14,0,269
1059,1071,the time machine,1,5,11,18
1060,1072,spy kids,1,5,3,4
1061,1073,red,1,6,14,45
1062,1074,nude nuns with big guns,1,6,6,138
1063,1075,the outpost,1,0,2,37
1064,1076,warcraft,1,5,15,275
1065,1077,way down,1,5,6,262
1066,1078,ocean's eight,1,6,14,45
1067,1079,brahmastra part one: shiva,1,5,15,275
1068,1080,dark phoenix,1,5,11,18
1069,1082,what happened to monday,1,14,15,65
1070,1084,the day after tomorrow,1,5,11,18
1071,1085,stargate,1,5,11,18
1072,1086,star trek into darkness,1,5,11,18
1073,1087,central intelligence,1,6,14,45
1074,1088,planet of the apes,1,5,11,18
1075,1089,rampage,1,5,11,18
1076,1090,kraven the hunter,1,5,11,18
1077,1091,spider-man: across the spider-verse,3,1,5,5
1078,1092,alphas,1,0,6,88
1079,1093,monster hunter,1,5,15,275
1080,1094,robin hood,1,5,0,260
1081,1095,on her majesty's secret service,1,5,6,262
1082,1096,men in black 3,1,5,3,4
1083,1097,highlander,1,5,15,275
1084,1098,transformers: dark of the moon,1,5,11,18
1085,1099,falling down,1,14,0,269
1086,1100,super 8,1,10,11,134
1087,1101,the king's daughter,1,5,17,51
1088,1102,kill bill: vol. 2,1,14,6,1
1089,1103,knight and day,1,5,3,4
1090,1104,rush hour,1,6,14,45
1091,1105,the blues brothers,1,5,3,4
1092,1106,snow white and the huntsman,1,5,0,260
1093,1107,the running man,1,11,6,42
1094,1108,unbroken,1,13,0,112
1095,1109,fast &amp; furious 7,1,14,6,1
1096,1110,miss congeniality 2: armed &amp; fabulous,1,6,14,45
1097,1111,jay and silent bob reboot,1,5,3,4
1098,1112,the fast and the furious: tokyo drift,1,5,14,257
1099,1113,gods of egypt,1,5,15,275
1100,1114,deadpool 3,1,6,11,401
1101,1115,joy ride,1,10,6,322
1102,1116,creed,1,0,7,35
1103,1117,captain phillips,1,13,14,150
